"International Activity Name","Description","IA Country","Activity Type"
"A Qualitative Study of Journalists from the BRICS Countries","This was a qualitative study of journalists from the BRICS countries. It studied these journalists' perceptions and beliefs about various work-related matters.

As part of a larger study of BRICS journalists, I collected data for two of the four selected cities in India. The empirical data from all BRICS countries was presented in a book I co-edited. Publications include the following:

Ramaprasad, J., Dubey, S., Masood, Z. (2018). News under pressure: Corporate and political ownership influence on journalists in India. International Communication Research Journal, , 53(2), 3-27.

Pasti, S., & Ramaprasad, J. (Eds.). (2015). The BRICS journalist: Profession and practice in the age of digital media [Special Issue]. African Journalism Studies, 36(3).

Pasti, S., & Ramaprasad, J. (2016). Digitalization and journalists in the BRICS countries. Brazilian Journalism Research, 12, 12-33.

Ramaprasad, J., Gudipaty, N., & Vemula, R. V. (2015). Indian journalists: Personal passion, organizational dynamics, and environmental forces. African Journalism Studies, 36(3), 61-86.

Pasti, S., & Ramaprasad, J. (2015). The BRICS journalist within the changing dynamics of the early 21st century [Editorial]. African Journalism Studies, 36(3), 1-7.

Pasti, S., & Ramaprasad, J. (Eds.). (2018). Contemporary BRICS Journalism: Non-Western Media in Transition. NY: Routledge.

Pasti, S., & Ramaprasad, J. (2017). Introduction: Why BRICS journalism matters. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 1-20). NY: Routledge.

Ramaprasad, J., Pasti, S., Paulino, F. O., Zhou, R., & Ndlovu, M. (2017). Professionalism: Continuities and change. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 23-48). NY: Routledge.

Wasserman, H., Ramaprasad, J., Sodré, M., Anikina, M., Vemula, R. K., & Xu, Y. (2017). Newsmaking: Navigating digital territory. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 49-71). NY: Routledge.

Ramaprasad, J., Ji, D., Zhou, R., Paulino, F. O., Pasti, S., Gavra, D., Wasserman, H., & Ndlovu, M. (2017). Ethics: Ideals and realities. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 72-103). NY: Routledge.

Gudipaty, N., Ramaprasad, J., Pasti, S., Lago, C., Li, X., & Rodny-Gumede, Y. (2017). Gender: Towards equality? In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 104-129). NY: Routledge.","Brazil","Research"
"Worlds of Journalism Study - Latin American and Caribbean Network (WJS3-LAC)","The Worlds of Journalism Study is the largest comparative study of working journalists in the world. It uses a comparative survey-based methodology. In the second wave researchers in or working on 60 countries interviewed more than 22,000 journalists about professional worldviews, working conditions, professional autonomy, and influences on work. For the third round journalist safety and risk, precarity and epistemology (views of fact-based truth) will also be studied. Dr. Sallie Hughes coordinates researchers in or working on 15 countries in Latin America and the Caribbean who are participating in the third round.","Brazil","Research"
"The Journalism at Risk Project: Retreat, Resistance, Renewal and Resiliency","This study measures multiple impacts of the hostile media environment across the Western Hemisphere on journalists as human beings with fundamental rights and as actors in a societal institution with vital importance for the quality of democracy and society. It further assesses how journalists are coping with hostile conditions and offers recommendations to increase support for journalists to journalist associations, news media organizations, NGOs, IGOs, and allies in governments. Researchers in Journalism Studies and Psychology participate in the study.","Brazil","Research"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","Brazil","Service Activities"
"Foreign Desk Editor, ""Standart Daily"" newspaper","Wrote and edited international stories for one of Bulgaria's biggest daily newspapers
Kept track of international wires and major international publications
Wrote analytical articles and day-to-day news
Covered international events in Bulgaria and abroad
Selected photos from AP, Reuters, AFP and other news agencies on a daily basis","Bulgaria","Research"
"Review of Previous Research locations and data in Thailand and Cambodia, 2017","From 2001 to 2008 I carried out large scale studies of human trafficking for the US State Dept and the UN under UNIAP, 2017 was a check on data after a decade.","Cambodia","Research"
"Revisiting Human Trafficking Areas in Cambodia","Research project where we checked on the locations in Cambodia that we identified in earlier studies as having connections to human trafficking.","Cambodia","Research"
"International Collaborations with Universities and News Organizations in Canada","Discussions  in Toronto with editors of the Globe & Mail, one of Canada's leading daily news organizations, and with a dean and faculty at Ryerson University on potential collaborations","Canada","Education"
"Film Production, Screening and Distribution in Canada, the UK and France","A few of the Feature Films Varma produced with Global emphasis include the following:

""Margarita"" - produced in Canada, screened internationally with distribution in the UK, France, Canada and the US - Funding from Canada.

""Catch and Release"" - Produced in Canada (funded in Canada) it has Canadian Distribution and is currently playing at US based film festivals.

TV Pilot ""Love Rules"" I wrote recently was a semi-finalist in the UK for c21's Content London Conference.

Varma has an expansive track record in the realm of producing, as the Executive in Charge of Production & Post at the Canadian Film Centre in Toronto, founded by Academy Award winner Norman Jewison, she executive produced over 100 video productions per year. Providing leadership to 600+ cast and crew and 40 filmmakers per year, Rechna offered ongoing guidance as it related to both the practical and creative aspects of video production. She built on and maintained the CFC’s industry relationships with Toronto’s unions, guilds and industry suppliers.

Varma has a BA in Communications from the University of Windsor, her MBA from the Rotman School of Management at the University of Toronto and a Global Executive MBA from the University of St. Gallen in Switzerland. Rechna has been a guest lecturer and an Artist-in-Residence at the Rotman School of Management for their Applied Innovation course.","Canada","Research"
"Reporting for The Hockey News","Professor Erin Brown serves as the Florida correspondent for The Hockey News, a Canadian publication regarded as the most recognized hockey publication in North America.","Canada","Research"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","Canada","Service Activities"
"Hemispheric University Consortium - Ocean Health Voyage","Produced by the School of Communication at the University of Miami, the Ocean Health Voyage is a groundbreaking online course that is filmed professionally in ten international locations and taught by some of the most distinguished marine scientists around the world. So far, 7 out of 14  Hemispheric University Consortium universities have confirmed its scheduling for Spring 2020, with faculty from each of them leading the course locally and collaborating among all of them, to have their students work together, hemispherically, in the course’s required projects.","Chile","Education"
"Worlds of Journalism Study - Latin American and Caribbean Network (WJS3-LAC)","The Worlds of Journalism Study is the largest comparative study of working journalists in the world. It uses a comparative survey-based methodology. In the second wave researchers in or working on 60 countries interviewed more than 22,000 journalists about professional worldviews, working conditions, professional autonomy, and influences on work. For the third round journalist safety and risk, precarity and epistemology (views of fact-based truth) will also be studied. Dr. Sallie Hughes coordinates researchers in or working on 15 countries in Latin America and the Caribbean who are participating in the third round.","Chile","Research"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","Chile","Service Activities"
"Fulbright Scholar","Teaching and research through the U.S. Fulbright program in another country. In my case, the People's Republic of China, in Shanghai, based at Shanghai International Studies University.","China","Education"
"Research Fellow at  Shanghai International Studies University","Professor Bruce Garrison served as research advisor and consultant to faculty and graduate students, graduate seminar leader, thesis advisor at Shanghai International Studies University.","China","Education"
"Study Abroad Program in Asia","This was a UM study abroad program for Asia, 2006-10. It was anchored in Shanghai, China, but also visited Beijing, Hong Kong, Bangkok, and several other Chinese cities depending on the year. It ran for five years.","China","Education"
"""How to Teach Big Data Use to Journalism and Mass Communication Students""","Professor Bruce Garrison conducted a research presentation with colleague Michel Dupagne, ""How to Teach Big Data Use to Journalism and Mass Communication Students: A Qualitative Analysis,"" Future of Media and Communication Research: Media Ecology and Big Data 2017 conference, Fudan University, and Ohio University, Shanghai.","China","Education"
"Teaching in China at Shanghai Jiao Tao University","I taught in the School of Media and Communication at Shanghai Jiao Tong University for an academic year.","China","Education"
"A Qualitative Study of Journalists from the BRICS Countries","This was a qualitative study of journalists from the BRICS countries. It studied these journalists' perceptions and beliefs about various work-related matters.

As part of a larger study of BRICS journalists, I collected data for two of the four selected cities in India. The empirical data from all BRICS countries was presented in a book I co-edited. Publications include the following:

Ramaprasad, J., Dubey, S., Masood, Z. (2018). News under pressure: Corporate and political ownership influence on journalists in India. International Communication Research Journal, , 53(2), 3-27.

Pasti, S., & Ramaprasad, J. (Eds.). (2015). The BRICS journalist: Profession and practice in the age of digital media [Special Issue]. African Journalism Studies, 36(3).

Pasti, S., & Ramaprasad, J. (2016). Digitalization and journalists in the BRICS countries. Brazilian Journalism Research, 12, 12-33.

Ramaprasad, J., Gudipaty, N., & Vemula, R. V. (2015). Indian journalists: Personal passion, organizational dynamics, and environmental forces. African Journalism Studies, 36(3), 61-86.

Pasti, S., & Ramaprasad, J. (2015). The BRICS journalist within the changing dynamics of the early 21st century [Editorial]. African Journalism Studies, 36(3), 1-7.

Pasti, S., & Ramaprasad, J. (Eds.). (2018). Contemporary BRICS Journalism: Non-Western Media in Transition. NY: Routledge.

Pasti, S., & Ramaprasad, J. (2017). Introduction: Why BRICS journalism matters. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 1-20). NY: Routledge.

Ramaprasad, J., Pasti, S., Paulino, F. O., Zhou, R., & Ndlovu, M. (2017). Professionalism: Continuities and change. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 23-48). NY: Routledge.

Wasserman, H., Ramaprasad, J., Sodré, M., Anikina, M., Vemula, R. K., & Xu, Y. (2017). Newsmaking: Navigating digital territory. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 49-71). NY: Routledge.

Ramaprasad, J., Ji, D., Zhou, R., Paulino, F. O., Pasti, S., Gavra, D., Wasserman, H., & Ndlovu, M. (2017). Ethics: Ideals and realities. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 72-103). NY: Routledge.

Gudipaty, N., Ramaprasad, J., Pasti, S., Lago, C., Li, X., & Rodny-Gumede, Y. (2017). Gender: Towards equality? In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 104-129). NY: Routledge.","China","Research"
"Globalness and Localness for Brands in the Transitioning Chinese Market","Focusing on the transitioning Chinese market, this study examined the interplay between perceived brand globalness and localness for local and global brands. Focus groups and in-depth interviews were first conducted to explore Chinese consumers’ changing meaning-making of iconic global and Chinese brands. The qualitative findings illuminated consumers’ evolving understanding of global and local brands, and the complicated dynamics between perceived brand globalness and localness. An online survey was subsequently administered to empirically assess the connection between brand globalness and localness across different iconic local and global brand pairs. The impacts of these brand perceptions on brand prestige and quality were further evaluated.","China","Research"
"Global Versus Local Consumer Culture Positioning in a Transitional Market","To shed cultural insights on the complex interplay between globalization and local ideologies, this study presents an online experiment that tested the comparative effects of global and local consumer culture positioning strategies in China. Reflecting the prevailing trend of nationalism around the globe, the study findings highlight the power of consumer nationalism on driving the effects of these culture-oriented positioning strategies. Furthermore, self-brand connection was found to be a critical mediator of the effects of consumer nationalism on brand evaluation. Based on the findings, this study provides strategic guidelines for both domestic and global brands to craft culturally relevant campaigns that capitalize on the growing trend of consumer nationalism in transitioning markets such as China.","China","Research"
"Transnational Consumer Behavior Research","Dr. Tsai's research focuses on transnational consumers, including Hispanic and Asian immigrants as well as international students","China","Research"
"Computing in Communication Teaching and Research","Invited presentation on “Computing in Communication Teaching and Research,” Jiao Tong University, Shanghai, China, May 27, 2019.","China","Research"
"Is It Politics or Just Business? News Framing of the Shanghai World Expo 2010","Published a peer-reviewed journal article with doc student: Bruce Garrison and Yu Liu, “Is It Politics or Just Business? News Framing of the Shanghai World Expo 2010,” International Communication Research Journal, 48:1-2 (Spring 2013), pp. 25-49.","China","Research"
"Visit to Shanghai Jiao Tong University","Faculty to faculty visit to School of Media and Design at Shanghai Jiao Tong University.","China","Research"
"News Frames and the Image of China in U.S. Elite Newspapers","Research presentation with Doctoral Student Yu Liu, “News Frames and the Image of China in U.S. Elite Newspapers during the Shanghai Expo,” 4th World Forum on China Studies: China Integrating into a Diverse World, Shanghai.","China","Research"
"International Conference Research Presentation","Research presentation with Doctoral Student Yu Liu, “Is It Politics or Just Business? Framing the Image of the Shanghai World Expo,” “Soft Power and Hard Reality: Shanghai Expo and China’s National Images,” Mediated Communication, Public Opinion and Society Section, International Association for Media and Communication Research, Istanbul, Turkey.","China","Research"
"Invited Research Talk at Shanghai Jiao Tong University","Invited Research Talk at Shanghai Jiao Tong University","China","Research"
"Television Producer, Beijing","Prior to coming to the US, Professor Wu worked as a television producer for Common Ground, an international bilingual talk show broadcast at Beijing TV Channel One.","China","Research"
"Producer & Editor, China Central Television","Prof to coming to the US, Professor Wu was a producer of economic news for a television show onChina Central Television, CCTV.","China","Research"
"A Comparative Study of Online Privacy Regulations in the US and China","Wu, Y., Lau, T., Atkin, D. J., & Lin, C. A. (2011). A comparative study of online privacy regulations in the US and China. Telecommunications Policy, 35(7), 603-616

Abstract
Online privacy seeks to protect the identity of individuals who use the internet to collect information or express opinions. However, given the proliferating vehicles through which one's identity can be ascertained, the question remains as to what policies can most effectively protect personal identity. This paper explores the similarities and differences with online privacy regulation in the United States and China. The scope of privacy measures examined here ranges from government to personal levels, from communication and finance to personal records, for adults and children. As might be expected in a democracy, American legislative initiatives are more comprehensive and far-reaching than those of their Chinese counterparts. In China, there was until recently no specific right of privacy specified in dedicated legislation, with privacy having been instead protected under the right of reputation in the Civil law. Policy implications stemming from these competing models are evaluated. Study findings underscore the notion that privacy should be a universally established individual right, and that both countries are moving—at least in rhetorical terms—to strengthen it as such..","China","Research"
"Agenda Setting and Micro-Blog Use","Wu, Y., Atkin, D., Lau, T. Y., Lin, C., & Mou, Y. (2013). Agenda setting and micro-blog use: An analysis of the relationship between Sina Weibo and newspaper agendas in China. The Journal of Social Media in Society, 2(2).

The present study investigates the influence of micro-blogs on the major agenda-setting media in China in the immediate aftermath of a catastrophic railway accident. Study findings are based on a content analysis of micro-blog messages and traditional mainstream media reports that were published in the nine days subsequent to the July 23, 2011 bullet train crash accident. Results suggest that, in the immediate aftermath of a catastrophic train wreck, alternative online media played a decisive role in setting mainstream media agendas and providing a citizen forum on a sensitive issue that their conventional counterparts downplayed, ignored, or missed altogether. In particular, the traditional media’s agenda setting power is no longer universal nor singular within micro-blogging outlets. Instead, traditional media—once a monolithic establishment—are now just one of the role players among many competing influences.","China","Research"
"Advisory Board Member, Center for Global Public Opinion in China","Service as advisor when needed for the Center for Global Public Opinion in China, Shanghai International Studies University, Shanghai, PRC","China","Service Activities"
"Hemispheric University Consortium - Ocean Health Voyage","Produced by the School of Communication at the University of Miami, the Ocean Health Voyage is a groundbreaking online course that is filmed professionally in ten international locations and taught by some of the most distinguished marine scientists around the world. So far, 7 out of 14  Hemispheric University Consortium universities have confirmed its scheduling for Spring 2020, with faculty from each of them leading the course locally and collaborating among all of them, to have their students work together, hemispherically, in the course’s required projects.","Colombia","Education"
"Strangers To Peace","STRANGERS TO PEACE is a documentary set in present-day Colombia and shows the lives of three former FARC soldiers and their reintegration back into Colombian society following the signing of a peace treaty.
http://strangerstopeace.com/#theteam","Colombia","Education"
"Professional Autonomy in Journalism","Professional autonomy has usually been defined in terms of journalists’ perceptions of their control over their work vis-à-vis organizational supervisors. Using surveys of journalists in Colombia and Mexico, we identify two dimensions of perceived autonomy: first, control over story development tasks (the traditional understanding of autonomy in empirical studies); second, the ability to actually publish news on a range of subjects associated with different levels of material or cultural power. We then identify the predictors of both dimensions of autonomy. Physical threats, overlapping forms of inequality, and clientelism characterize pressures on autonomy in these two democracies. Journalists can carve out more space for autonomy by gaining professional experience or by creating new organizational arrangements and supporting analytical, change-oriented norms. By examining professional autonomy empirically in a broad range of contexts, we demonstrate that autonomy is more complex, situational, and historically contingent than previously believed. https://journals.sagepub.com/doi/abs/10.1177/1464884916659409?journalCode=joua","Colombia","Research"
"Worlds of Journalism Study - Latin American and Caribbean Network (WJS3-LAC)","The Worlds of Journalism Study is the largest comparative study of working journalists in the world. It uses a comparative survey-based methodology. In the second wave researchers in or working on 60 countries interviewed more than 22,000 journalists about professional worldviews, working conditions, professional autonomy, and influences on work. For the third round journalist safety and risk, precarity and epistemology (views of fact-based truth) will also be studied. Dr. Sallie Hughes coordinates researchers in or working on 15 countries in Latin America and the Caribbean who are participating in the third round.","Colombia","Research"
"The Journalism at Risk Project: Retreat, Resistance, Renewal and Resiliency","This study measures multiple impacts of the hostile media environment across the Western Hemisphere on journalists as human beings with fundamental rights and as actors in a societal institution with vital importance for the quality of democracy and society. It further assesses how journalists are coping with hostile conditions and offers recommendations to increase support for journalists to journalist associations, news media organizations, NGOs, IGOs, and allies in governments. Researchers in Journalism Studies and Psychology participate in the study.","Colombia","Research"
"Journalism in Insecure Democracies","Collaboration with colleagues in Mexico, El Salvador, Colombia and South Africa to research and write the research article, ""Expanding Influences Research to Insecure Democracies: How Violence, Public Insecurity, Economic Inequality, and Uneven Democratic Performance Shape Journalists’ Perceived Work"".

Abstract
Democracies with sharp violence and public insecurity have proliferated in recent decades, with many also featuring extreme economic inequality. These conditions have not been explicitly considered in comparative research on journalists’ work environments, an omission that may obscure important realities of contemporary journalism. We address this gap through an analysis of journalist surveys in 62 countries. We confirm the existence of insecure democracies as an empirical phenomenon and begin to unravel their meaning for journalists. We find democracies with uneven democratic performance tend to have more journalist assassinations, which is the most extreme form of influence on work, and that levels of democratic performance, violence, public insecurity, and economic inequality significantly shape how journalists perceive various influences in their work environment. Case studies of insecure democracies in Africa and Latin America address why these conditions sometimes (but not always) lead to journalist assassinations and other anti-press violence. They suggest anti-press violence is higher when sub-national state actors intensify criminal violence and when insecurity is geographically and topically proximate to journalists. How journalists perceive influences on work are therefore more complex and multidimensional than previous research has suggested. The study concludes by identifying areas for improvement in data collection. 

Learn More @ https://www.tandfonline.com/doi/abs/10.1080/1461670X.2016.1266278","Colombia","Research"
"Por Nuestras Calles/Intervention Dissemination","This project seeks to improve the lives of children who are victims of commercial sexual exploitation by improving the responsiveness of members of law enforcement, and by increasing empathy on the part of those who work in tourism. (Categories below do not represent this project. It involves educational, research, and service components.)","Colombia","Service Activities"
"Keynote Address for Colombian Communication Associations Joint Meeting","Dr. Sallie Hughes delivered a keynote address at the joint meeting of the Colombian Communication Schools Association and Communication Researchers Association (Associación de Facultades de Comunicación/Asociación de Investigadores de Comunicación). Dr. Hughes also spoke to the doctoral students at the Universidad del Norte.","Colombia","Service Activities"
"African Legislators Training - Management Certificate Program","Ms. Tsitsi Wakhisi participated in this program for the first time during the fall semester of 2019. She organized professors from the law school and history department and me from SOC to work with newly elected legislators from the Democratic Republic of Congo. We all made presentations related to our respective fields to help the legislators think through their responsibilities and provide guidance on how they can use a Western framework for setting their legislative agendas and problem-solving. This will be an annual seminar sponsored by the Institute for Democracy in Africa, which is based in South Florida. The legislators also hear from professors and elected officials representing other South Florida institutions.","Congo, Dem. Rep.","Education"
"Study Abroad in Costa Rica","Professor Presson was co-leader of inaugural two-week study abroad program in Costa Rica for my previous institution with 18 students studying international environmental journalism and PR, and gender studies. Travel to San Jose, Isla Chira, Monteverde and Cana Negro.","Costa Rica","Education"
"Worlds of Journalism Study - Latin American and Caribbean Network (WJS3-LAC)","The Worlds of Journalism Study is the largest comparative study of working journalists in the world. It uses a comparative survey-based methodology. In the second wave researchers in or working on 60 countries interviewed more than 22,000 journalists about professional worldviews, working conditions, professional autonomy, and influences on work. For the third round journalist safety and risk, precarity and epistemology (views of fact-based truth) will also be studied. Dr. Sallie Hughes coordinates researchers in or working on 15 countries in Latin America and the Caribbean who are participating in the third round.","Costa Rica","Research"
"Escuela Internacional de Cine y TV (EICTV)","Invite-only guest lecture and teaching opportunity at EICTV in Cuba. Professor Lindsay Grace taught the school's first-ever class in scriptwriting and narrative for games during a five-day workshop. The faculty have indicated they would like me to return in a year or two.","Cuba","Education"
"Worlds of Journalism Study - Latin American and Caribbean Network (WJS3-LAC)","The Worlds of Journalism Study is the largest comparative study of working journalists in the world. It uses a comparative survey-based methodology. In the second wave researchers in or working on 60 countries interviewed more than 22,000 journalists about professional worldviews, working conditions, professional autonomy, and influences on work. For the third round journalist safety and risk, precarity and epistemology (views of fact-based truth) will also be studied. Dr. Sallie Hughes coordinates researchers in or working on 15 countries in Latin America and the Caribbean who are participating in the third round.","Cuba","Research"
"""Cuba Water"" Research Collaboration, Cross-Discipline;  Publications","""Cuba Water,"" a qualitative study of drinking water. 511 interviews, quantitative analysis.","Cuba","Research"
"Radio in the American Sector (RIAS) - German/ American Journalism Exchange","From meetings with the U.S. ambassador to NATO and the German Ambassador to the Czech Republic, to conversations with a former Stazi prisoner, the creator of the East Side Gallery painted on the remnants of the Berlin Wall and a Syrian refugee, the RIAS Fellowship offered an insider look at politics and media in Germany and beyond. As one of 13 American broadcast journalists selected for a two-week fully funded fellowship, it was a transformative experience  to interact with German leaders in politics and media and to learn about our similarities and our differences. The conversations provided an extensive amount of fodder for news stories, as well as, increased transatlantic understanding.","Czech Republic","Research"
"Public Conference about book 'How Charts Lie'","Public talk about Professor Cairo's latest book, How Charts Lie, organized by the University of Copenhagen","Denmark","Service Activities"
"Hemispheric University Consortium - Ocean Health Voyage","Produced by the School of Communication at the University of Miami, the Ocean Health Voyage is a groundbreaking online course that is filmed professionally in ten international locations and taught by some of the most distinguished marine scientists around the world. So far, 7 out of 14  Hemispheric University Consortium universities have confirmed its scheduling for Spring 2020, with faculty from each of them leading the course locally and collaborating among all of them, to have their students work together, hemispherically, in the course’s required projects.","Dominican Republic","Education"
